path,server,client,protocol,Gbits/s
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u15_mocr4pcc02u16.log,mocr4pcc02u15,mocr4pcc02u16,tcp,196
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u15_mocr4pcc02u24.log,mocr4pcc02u15,mocr4pcc02u24,tcp,197
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u15_mocr4pcc02u25.log,mocr4pcc02u15,mocr4pcc02u25,tcp,194
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u15_mocr4pcc02u29.log,mocr4pcc02u15,mocr4pcc02u29,tcp,191
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u15_mocr4pcc02u30.log,mocr4pcc02u15,mocr4pcc02u30,tcp,196
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u15_mocr4pcc02u31.log,mocr4pcc02u15,mocr4pcc02u31,tcp,196
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u15_mocr4pcc02u32.log,mocr4pcc02u15,mocr4pcc02u32,tcp,194
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u16_mocr4pcc02u15.log,mocr4pcc02u16,mocr4pcc02u15,tcp,194
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u16_mocr4pcc02u24.log,mocr4pcc02u16,mocr4pcc02u24,tcp,196
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u16_mocr4pcc02u25.log,mocr4pcc02u16,mocr4pcc02u25,tcp,194
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u16_mocr4pcc02u29.log,mocr4pcc02u16,mocr4pcc02u29,tcp,194
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u16_mocr4pcc02u30.log,mocr4pcc02u16,mocr4pcc02u30,tcp,196
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u16_mocr4pcc02u31.log,mocr4pcc02u16,mocr4pcc02u31,tcp,195
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u16_mocr4pcc02u32.log,mocr4pcc02u16,mocr4pcc02u32,tcp,194
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u24_mocr4pcc02u15.log,mocr4pcc02u24,mocr4pcc02u15,tcp,194
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u24_mocr4pcc02u16.log,mocr4pcc02u24,mocr4pcc02u16,tcp,196
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u24_mocr4pcc02u25.log,mocr4pcc02u24,mocr4pcc02u25,tcp,192
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u24_mocr4pcc02u29.log,mocr4pcc02u24,mocr4pcc02u29,tcp,192
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u24_mocr4pcc02u30.log,mocr4pcc02u24,mocr4pcc02u30,tcp,198
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u24_mocr4pcc02u31.log,mocr4pcc02u24,mocr4pcc02u31,tcp,196
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u24_mocr4pcc02u32.log,mocr4pcc02u24,mocr4pcc02u32,tcp,196
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u25_mocr4pcc02u15.log,mocr4pcc02u25,mocr4pcc02u15,tcp,192
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u25_mocr4pcc02u16.log,mocr4pcc02u25,mocr4pcc02u16,tcp,195
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u25_mocr4pcc02u24.log,mocr4pcc02u25,mocr4pcc02u24,tcp,194
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u25_mocr4pcc02u29.log,mocr4pcc02u25,mocr4pcc02u29,tcp,195
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u25_mocr4pcc02u30.log,mocr4pcc02u25,mocr4pcc02u30,tcp,195
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u25_mocr4pcc02u31.log,mocr4pcc02u25,mocr4pcc02u31,tcp,191
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u25_mocr4pcc02u32.log,mocr4pcc02u25,mocr4pcc02u32,tcp,193
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u29_mocr4pcc02u15.log,mocr4pcc02u29,mocr4pcc02u15,tcp,193
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u29_mocr4pcc02u16.log,mocr4pcc02u29,mocr4pcc02u16,tcp,196
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u29_mocr4pcc02u24.log,mocr4pcc02u29,mocr4pcc02u24,tcp,196
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u29_mocr4pcc02u25.log,mocr4pcc02u29,mocr4pcc02u25,tcp,194
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u29_mocr4pcc02u30.log,mocr4pcc02u29,mocr4pcc02u30,tcp,196
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u29_mocr4pcc02u31.log,mocr4pcc02u29,mocr4pcc02u31,tcp,196
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u29_mocr4pcc02u32.log,mocr4pcc02u29,mocr4pcc02u32,tcp,193
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u30_mocr4pcc02u15.log,mocr4pcc02u30,mocr4pcc02u15,tcp,195
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u30_mocr4pcc02u16.log,mocr4pcc02u30,mocr4pcc02u16,tcp,197
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u30_mocr4pcc02u24.log,mocr4pcc02u30,mocr4pcc02u24,tcp,197
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u30_mocr4pcc02u25.log,mocr4pcc02u30,mocr4pcc02u25,tcp,195
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u30_mocr4pcc02u29.log,mocr4pcc02u30,mocr4pcc02u29,tcp,192
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u30_mocr4pcc02u31.log,mocr4pcc02u30,mocr4pcc02u31,tcp,196
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u30_mocr4pcc02u32.log,mocr4pcc02u30,mocr4pcc02u32,tcp,195
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u31_mocr4pcc02u15.log,mocr4pcc02u31,mocr4pcc02u15,tcp,194
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u31_mocr4pcc02u16.log,mocr4pcc02u31,mocr4pcc02u16,tcp,196
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u31_mocr4pcc02u24.log,mocr4pcc02u31,mocr4pcc02u24,tcp,196
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u31_mocr4pcc02u25.log,mocr4pcc02u31,mocr4pcc02u25,tcp,193
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u31_mocr4pcc02u29.log,mocr4pcc02u31,mocr4pcc02u29,tcp,193
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u31_mocr4pcc02u30.log,mocr4pcc02u31,mocr4pcc02u30,tcp,195
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u31_mocr4pcc02u32.log,mocr4pcc02u31,mocr4pcc02u32,tcp,195
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u32_mocr4pcc02u15.log,mocr4pcc02u32,mocr4pcc02u15,tcp,194
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u32_mocr4pcc02u16.log,mocr4pcc02u32,mocr4pcc02u16,tcp,194
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u32_mocr4pcc02u24.log,mocr4pcc02u32,mocr4pcc02u24,tcp,196
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u32_mocr4pcc02u25.log,mocr4pcc02u32,mocr4pcc02u25,tcp,192
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u32_mocr4pcc02u29.log,mocr4pcc02u32,mocr4pcc02u29,tcp,194
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u32_mocr4pcc02u30.log,mocr4pcc02u32,mocr4pcc02u30,tcp,197
25-04-25-1745571184/iperf_tcp_srv_mocr4pcc02u32_mocr4pcc02u31.log,mocr4pcc02u32,mocr4pcc02u31,tcp,196
