,,grad_accum,,,,,,,,,
Nodes,iter (n-2),1,2,3,4,5,6,7,8,9,10
N1,1,96.67,175.57,254.88,333.04,412.41,488.28,574.09,649.7,726.98,803.63
,2,96.92,175.86,254.37,333.06,411.17,491.6,568.07,648.67,726.57,804.97
,3,96.95,176.5,254.35,334.87,412.14,490.07,573.64,650.74,728.89,808.19
,4,97.04,175.74,254.64,333.95,412.32,490.74,572.96,647.95,730.2,807.41
,5,97.02,176.75,254.75,333.82,412.77,490.31,570.83,650.14,730.08,805.24
,6,97.06,175.6,254.93,333.49,413.29,492.02,570.12,647.99,728.46,806.66
,7,96.93,178.67,253.71,334.36,412.4,491.58,571.05,650.05,726.95,808.39
,8,96.72,176.56,255.09,333.12,412.78,490.64,571.06,649.79,728.75,805.29
GDRDMA N2,1,184.67,220.45,416.79,378.53,570.38,620.49,668.47,754.23,934.37,828.8
,2,209.15,219.86,285.55,537.61,494.86,539.35,708.1,759.24,872.94,830.77
,3,206.27,205.62,327.02,539.68,432.64,571.1,662.83,715.05,821.55,831.26
,4,237.96,296.02,377.04,374.56,494.89,623.14,673.33,758.74,825.46,830.59
,5,142.04,239.47,319.81,409.37,551.52,629.03,657.07,724.27,762.02,830.13
,6,169.81,277.1,419.48,452.28,464.9,538.28,656.06,750.71,857.35,829.64
,7,198.05,387.2,329.89,431.42,506.69,592.74,653.51,718.03,785.26,830.09
,8,168.43,268.08,308.39,373.22,443.24,545.58,620.36,755.18,837.62,828.92
RDMA N2,1,111.72,211.33,291.05,350.11,442.19,509.1,717.75,741.57,745.74,822.74
,2,190.46,204.1,280.46,350.35,438.36,507.57,588.57,720.57,744.71,902.19
,3,130.71,198.08,272.42,366.51,445.25,508.98,664.49,685.24,746.2,837.52
,4,114.1,225.43,333.26,435.12,433.07,511.56,614.82,673.23,787.91,822.09
,5,112.57,229.18,273.68,351.68,437.41,580.57,590.73,669.32,744.15,912.29
,6,192.4,238.91,329.21,402.25,430.26,556.49,612.87,667.73,748.55,823.11
,7,185.12,198.45,355.91,365.12,430.07,544.84,587.29,669.56,744.73,825.39
,8,141.91,190.61,350.38,352.73,427.93,559.37,591.96,669.08,781.52,881.33
TCP N2,1,702.66,744.93,857.44,923.99,1008.38,1079.62,1139.87,1249.82,1347.58,1425.36
,2,683.74,757.46,842.13,897.95,1004.11,1066.58,1161.83,1253.7,1358.71,1399.55
,3,669.17,763.32,867.6,927.44,1007.69,1076.72,1156.2,1278.65,1335,1418.69
,4,677.88,765.13,872.36,921.78,1009.48,1073.96,1147.9,1265.56,1340.44,1435.97
,5,683.98,727.54,864.72,920.79,1021.89,1084.09,1164.62,1238.45,1349.15,1403.18
,6,672.37,766.11,846.3,926.64,1028.34,1087.07,1167.29,1257.32,1325.52,1406.84
,7,662.84,765.79,864.86,922.11,1025.64,1078.71,1151.82,1269.23,1337.27,1410.16
,8,668.71,757.84,874.22,872.04,1018.43,1084.96,1164.31,1254.84,1344.06,1430.35
GDRDMA N3,1,148.84,225.24,304.37,401.34,474.77,540.95,619.2,699.23,778.6,856.23
,2,151.92,224.85,631.8,396.74,465.79,541.45,620.32,699.34,809.36,854.58
,3,148.87,224.18,308.4,388.07,475.27,541.18,622.69,699.85,802.39,858.43
,4,148.69,224.31,304.56,392.78,464.29,542.47,623.68,698.79,791.24,1188.8
,5,147.77,225.22,304.76,391.89,461.94,541.57,623.83,1270.61,783.86,856.79
,6,148,225.75,304.07,388.53,462.76,542.91,622.61,697.81,779.18,856.48
,7,148.72,224.82,304.67,386.68,461.81,899.7,621.52,697.83,779.74,857.61
,8,476.17,225.46,304.17,390.54,462.5,542.45,619.99,699.28,779.57,858.33
RDMA N3,1,136.32,220.22,297.4,366.17,445.93,525.25,606.52,682.84,763.85,842.09
,2,130.93,214.28,632.04,368.25,450.14,525.39,602.81,684.54,768.66,844.22
,3,130.32,219.87,378.35,368.72,448.75,525.44,608.06,684.14,765.28,839.24
,4,129.17,213.31,308.72,369.75,450.75,524.37,609.44,684.48,763,1183.74
,5,133.41,216.81,300.99,369.16,445.43,526.43,609.02,1212.6,764.77,836.66
,6,131.7,214.92,298.43,367.25,447.83,526.16,605.85,682.05,765.66,844.9
,7,132.42,216.8,298.07,370.22,448.43,862.5,609.14,682.84,763.94,840.32
,8,624.47,213.62,355.63,367.27,447.78,523.85,609.46,684.31,764.63,840.74
TCP N3,1,858.46,992.66,992.97,1101.19,1200.44,1255.12,1330.7,1459.75,1491.44,1569.31
,2,861.05,956.11,1548.2,1133.73,1240.99,1288.76,1351.79,1494.65,1526,1558.48
,3,842.74,999.87,1018.89,1094.55,1241.97,1297.79,1326.64,1481.67,1520.33,1562.63
,4,884.76,995.78,1032.31,1114.62,1217.96,1298.04,1315.75,1480.2,1528.88,1932.43
,5,847.06,986.76,1032.83,1116.12,1232.48,1293.42,1327.92,1831.87,1481.58,1566.87
,6,846.09,988.96,1032,1102.24,1191.12,1304.15,1332.46,1436.21,1523.28,1600.9
,7,888.14,965.7,1041.76,1117.43,1235.75,1618.05,1304.41,1448.4,1501.89,1575.11
,8,1161.52,997.54,1026.69,1107.19,1224.76,1311.6,1323.9,1454.22,1490.45,1584.56
GDRDMA N4,1,153.67,231.27,309.37,393.99,469.23,556.41,641.54,726.45,790.82,867.12
,2,153.54,231.86,659,395.29,468.9,560.4,644.49,721.79,791.81,866.64
,3,153.65,232.02,309.57,391.7,468.63,556.53,633.71,705.6,790.54,869.79
,4,152.83,230.34,310.59,391.2,471.43,554.01,643.33,705.35,788.18,1194.85
,5,155.1,231.63,310.25,390.18,469.37,552.23,630.62,1473.69,791.01,868.03
,6,153.79,230.78,312.25,392.14,467.89,548.94,630.75,704,788.5,867.76
,7,156.89,231.61,311.68,390.84,468.37,1246.62,629.41,707.54,789.89,871.47
,8,482.83,231.96,311.75,390.51,470.19,549.18,629.52,705.83,789.86,867.78
RDMA N4,1,140.86,219.43,297.42,376.4,462.52,531.74,615.75,696.62,776.57,854.1
,2,142.28,214.39,624.58,375.14,458.53,533,617.34,697.27,773.57,857.99
,3,139.57,214.17,296.46,377.59,457.24,536.51,617.22,698,780.13,857.54
,4,141.06,213.8,298.93,381.72,457.07,533.06,615.5,696.03,782.17,1266.6
,5,138.36,214.24,298.06,377.84,460.08,535.27,617.1,1156.49,782.14,858.62
,6,137.71,219.43,295.86,380.71,460.64,536.27,618.02,696.24,775.75,861.81
,7,139.86,218.49,298.46,375.95,460.81,869.91,618.52,696.23,779.67,855.87
,8,788.88,215.94,300.12,374.04,455.72,534,618.6,695.72,779.26,857.29
TCP N4,1,1013.72,1063.23,1176.94,1309.5,1324.36,1465.24,1472.16,1610.94,1652.92,1736.25
,2,1013.86,1067.16,1469.49,1299,1319.22,1411.08,1464.28,1606.72,1670.8,1739.21
,3,1018.42,1062.54,1189.08,1294.91,1334.03,1432.56,1495.84,1601.94,1652.52,1734.67
,4,1020.22,1085.05,1176.05,1320.34,1324.62,1419.16,1447.85,1601.57,1649.92,2239.97
,5,1005.39,1089.64,1189.74,1303.12,1302.45,1422.79,1487.92,1937.32,1646.59,1717.15
,6,1017.39,1085.1,1200.94,1292.56,1317.74,1434.93,1481.09,1610.01,1646.76,1740.09
,7,1014.98,1077.86,1181.5,1258.42,1303.4,1763.2,1472.5,1595.86,1653.83,1724.92
,8,1329.26,1084.59,1171.9,1350.5,1315.32,1394.33,1475.69,1595.58,1649.28,1738.87